temperature,resistance
2.5,672.1592237870055
2.9519180138749825,587.6269104716536
3.485527984255849,517.0025279668996
4.115597137836079,459.5514606725642
4.859562131612256,411.8503450669977
5.738011598340371,371.64111861805077
5.0,404.58036612944926
5.400298694461531,385.36516812890335
5.832645197880583,368.10732058642236
6.299605249474366,351.69367153480056
6.803950000871885,336.288133485102
7.348672461377995,322.2721065488545
7.937005259840998,308.98720275007634
8.572439828530728,296.70694709429114
9.258747122872904,285.0583015378187
10.0,274.0201317231272
10.0,272.69950276362306
10.460819186432149,267.8912725052568
10.94287380512269,261.9538808284784
11.447142425533322,256.1730443454183
11.974648711484036,250.68702409009643
12.52646349918772,245.41153743271573
13.103706971044485,240.13184992779293
13.707550929608685,235.02084740969724
14.339221176344626,229.97391843665807
15.0,225.28027416680325
15.0,225.1237698263261
15.487215479641808,222.04088345706325
15.99025622085712,218.81597547783767
16.509636244473135,215.6129392901506
17.045886267243983,212.3893214029307
17.599554244151648,209.27148035059545
18.1712059283214,206.2079764851184
18.761425449123877,203.14758192553438
19.370815909054464,200.15264920427657
20.0,197.19520743051078
20.0,196.97738325714639
20.92163837286429,193.27981989004317
21.885747610245385,189.24460050310117
22.894284851066637,185.29867296873883
23.949297422968076,181.35370509431573
25.05292699837543,177.5069010237039
26.20741394208897,174.04163036362024
27.415101859217355,170.26099478748657
28.678442352689256,166.58402123573032
30.0,162.94722310368132
30.0,162.76281243785567
31.14280332796563,160.0679350278818
32.32913997081156,157.20303020774048
33.5606682624419,154.29642261159205
34.83910970841088,151.39729605150103
36.166251392348585,148.55108289905257
37.543948474055846,145.74747651557792
38.97412678275989,142.97349452601125
40.458785509156286,140.2208291672993
42.0,137.51007626999876
1.8,906.6733292963646
2.0023739302821078,819.2984839015394
2.227500753707452,741.6855681921473
